country_label,year,growth_gdp,inflation,popul,log_popul,startbusin,unemp,urban,schooling,rule_of_law,voice_account,pol_stability,gov_effective,regulatory_qual,control_corrup,dummy_eu,covid_year,dummy_oecd
Australia,2014,1.0151142229833,1.479573107689987,23475686,16.97147580520884,96.5,6.08,85.602,10,1.923046112060547,1.361716032028198,1.03219199180603,1.607066988945007,1.86370837688446,1.853722214698792,0,0,1
Australia,2015,0.7324070437658321,-0.5496594111488378,23815995,16.98586797173483,96.5,6.05,85.701,10,1.825072646141052,1.355591297149658,0.8849798440933228,1.564190983772278,1.788684129714966,1.882711291313171,0,0,1
Australia,2016,1.177907007690763,-0.5330003463730009,24190907,17.00148737671587,96.5,5.71,85.8,10,1.755666971206665,1.353702068328857,1.047958016395569,1.568042635917664,1.896965622901917,1.816107511520386,0,0,1
Australia,2017,0.5917665427972025,3.73475009256552,24601860,17.01833260780041,96.5,5.59,85.904,10,1.686461329460144,1.375636100769043,0.8960608243942261,1.538218975067139,1.933411359786987,1.798350930213928,0,0,1
Australia,2018,1.379960220979058,1.885615996469554,24982688,17.03369366295745,96.5,5.3,86.012,10,1.715382099151611,1.380592823028564,0.9896039962768555,1.595232129096985,1.902705550193787,1.805214405059814,0,0,1
Australia,2019,0.6181879108464727,3.398104470506766,25365745,17.04891019973237,96.5,5.16,86.124,10,1.734472513198853,1.267441391944885,0.9117457270622253,1.571555256843567,1.873689413070679,1.82541298866272,0,0,1
Australia,2020,-1.532086198391184,1.96803686268629,25687041,17.06149718144794,96.6,6.46,86.241,10,1.651188373565674,1.304120540618896,0.8487522006034851,1.619163393974304,1.816903710365295,1.665164589881897,0,1,1
Belgium,2014,1.128595724711715,0.982645554501687,11209057,16.2322326701897,91.3,8.52,97.833,12,1.551950573921204,1.366339206695557,0.7012694478034973,1.523704528808594,1.15776538848877,1.517457246780396,1,0,1
Belgium,2015,1.451893367587559,1.33038612835179,11274196,16.23802713260648,91.3,8.48,97.876,12,1.48884117603302,1.387440085411072,0.5870946049690247,1.560348391532898,1.287758946418762,1.514363050460815,1,0,1
Belgium,2016,0.7552689191028463,1.920850694950488,11331422,16.24309013263099,91.4,7.83,97.919,12,1.429942846298218,1.377025842666626,0.4413672983646393,1.433040976524353,1.340683579444885,1.574584245681763,1,0,1
Belgium,2017,1.230825592882724,1.828301836796115,11375158,16.24694241281471,91.4,7.09,97.961,12,1.35845935344696,1.338482022285461,0.4281858205795288,1.27884578704834,1.246880173683167,1.447792172431946,1,0,1
Belgium,2018,1.325649933650524,1.625329410645264,11427054,16.25149425976746,91.4,5.95,98.001,12,1.376736998558044,1.318996906280518,0.402350127696991,1.261865258216858,1.268156170845032,1.466163396835327,1,0,1
Belgium,2019,1.236071351590667,1.655468953428581,11488980,16.25689887303844,91.4,5.36,98.041,12,1.374089956283569,1.310243368148804,0.4737775325775146,1.148131728172302,1.291109085083008,1.485346674919128,1,0,1
Belgium,2020,-6.827420042732854,1.067716402644535,11555997,16.26271508096283,92.3,5.55,98.079,12,1.368919610977173,1.283182263374329,0.5905625820159912,1.124298691749573,1.350717902183533,1.478052020072937,1,1,1
Brazil,2014,-0.3524831450360892,7.846709743528095,202763744,19.12755203657845,63.7,6.66,85.492,12,-0.0499485470354557,0.4719278812408447,-0.07029013335704803,-0.1397428512573242,-0.07819727063179016,-0.3383985757827759,0,0,0
Brazil,2015,-4.351475065272112,7.566175012071156,204471759,19.13594042611124,64.7,8.43,85.77,12,-0.1471590101718903,0.4588515162467957,-0.3314580917358398,-0.1843512207269669,-0.1926552504301071,-0.3964700102806091,0,0,0
Brazil,2016,-4.069410925302691,8.103604358702455,206163056,19.14417794763662,63.9,11.6,86.042,12,-0.1573322415351868,0.4518493711948395,-0.3772054016590118,-0.1739778220653534,-0.207315519452095,-0.3813245892524719,0,0,0
Brazil,2017,0.5083379812560906,3.67138451191795,207833825,19.15224940009108,64.7,12.82,86.309,12,-0.2469498515129089,0.448015570640564,-0.4738645851612091,-0.2328485548496246,-0.1500316858291626,-0.4959316551685333,0,0,0
Brazil,2018,0.9889600326235808,4.493534331641598,209469320,19.16008784268843,64.8,12.33,86.569,12,-0.252479612827301,0.3602511584758759,-0.440423458814621,-0.4497754871845245,-0.3271396458148956,-0.3989659547805786,0,0,0
Brazil,2019,0.6518534458191709,4.280505119003436,211049519,19.1676033511094,80.3,11.93,86.824,12,-0.1806352287530899,0.2974657714366913,-0.7137882113456726,-0.186902716755867,-0.1784509271383286,-0.3365894854068756,0,0,0
Brazil,2020,-4.740553195391186,4.805398417051521,212559409,19.17473207902055,81.3,13.69,87.073,12,-0.1758137047290802,0.2610505223274231,-0.4216978847980499,-0.4470313489437103,-0.1616534888744354,-0.3424238264560699,0,1,0
Bulgaria,2014,2.466219591948771,0.460887324994161,7223938,15.79291079153936,84.8,11.42,73.651,9,-0.0763632208108902,0.3664630353450775,0.07854089885950089,-0.0001485663960920647,0.5683190226554871,-0.2827536463737488,1,0,0
Bulgaria,2015,4.655500600154895,2.442392477189088,7177991,15.78653009685775,84.8,9.14,73.99,9,-0.125640332698822,0.4325730204582214,0.01732218824326992,0.1148597076535225,0.5637681484222412,-0.2976200878620148,1,0,0
Bulgaria,2016,4.551172107545497,2.537512296502896,7127822,15.77951627587934,84.8,7.57,74.329,9,-0.10516756772995,0.4021856784820557,0.07733326405286789,0.2084756195545197,0.6585177183151245,-0.2129944115877151,1,0,0
